cod_article;name;reference;description;price;brand;category;collection;color;size;stock;sku;materials
;Accessoire;SS26/76 UN;Accessoire lifestyle Bisous Skateboards.;100;Bisous Skateboards;accessoires;SS26;Multicolor;UN;2;SS26-76-UN;Mixte
;Collier pour chien;SS26/75 UN;Collier pour chien Bisous Skateboards, boucle métal et sangle réglable.;100;Bisous Skateboards;accessoires;SS26;Black;UN;2;SS26-75-UN;Nylon, métal
;Laisse pour chien;SS26/74 UN;Laisse pour chien Bisous Skateboards, finition résistante pour la promenade.;100;Bisous Skateboards;accessoires;SS26;Black;UN;2;SS26-74-UN;Polyester, métal
;Sweat Écusson Peace;SS26/49 L;Sweat à capuche noir avec poche kangourou. Écusson Bisous Skateboards et symbole peace rose sur la poitrine.;135;Bisous Skateboards;sweat;SS26;Noir;L;2;SS26-49-L;80% coton, 20% polyester
;Sweat Écusson Peace;SS26/49 M;Sweat à capuche noir avec poche kangourou. Écusson Bisous Skateboards et symbole peace rose sur la poitrine.;135;Bisous Skateboards;sweat;SS26;Noir;M;2;SS26-49-M;80% coton, 20% polyester
;Sweat Écusson Peace;SS26/49 S;Sweat à capuche noir avec poche kangourou. Écusson Bisous Skateboards et symbole peace rose sur la poitrine.;135;Bisous Skateboards;sweat;SS26;Noir;S;2;SS26-49-S;80% coton, 20% polyester
;Chaussettes Logo Triple;SS26/85 UN;Chaussettes mi-hautes vert clair, logo BISOUS triple imprimé en noir sur la cheville.;25;Bisous Skateboards;chaussettes;SS26;Vert clair;UN;2;SS26-85-UN;80% coton, 17% polyamide, 3% élasthanne
;Chaussettes Logo Triple;SS26/86 UN;Chaussettes mi-hautes jaune pâle, logo BISOUS triple brodé en bordeaux.;25;Bisous Skateboards;chaussettes;SS26;Jaune pâle;UN;2;SS26-86-UN;80% coton, 17% polyamide, 3% élasthanne
;Chaussettes Logo Triple;SS26/87 UN;Chaussettes mi-hautes noires, triple logo Bisous brodé en rose.;25;Bisous Skateboards;chaussettes;SS26;Noir;UN;2;SS26-87-UN;80% coton, 17% polyamide, 3% élasthanne
;Chaussettes Logo Triple;SS26/88 UN;Chaussettes mi-hautes blanches, triple logo Bisous brodé bleu ciel.;25;Bisous Skateboards;chaussettes;SS26;Blanc;UN;2;SS26-88-UN;80% coton, 17% polyamide, 3% élasthanne
;Chaussettes Logo Triple;SS26/91 UN;Chaussettes mi-hautes vert forêt, triple logo Bisous brodé blanc.;25;Bisous Skateboards;chaussettes;SS26;Vert forêt;UN;2;SS26-91-UN;80% coton, 17% polyamide, 3% élasthanne
;Chaussettes Tie-Dye;SS26/92 UN;Chaussettes tie-dye violet et lilas, triple logo Bisous brodé bleu ciel.;25;Bisous Skateboards;chaussettes;SS26;Violet;UN;2;SS26-92-UN;80% coton, 17% polyamide, 3% élasthanne
;Chaussettes Love Tie-Dye;SS26/93 UN;Chaussettes tie-dye bleu et blanc, broderie Love triple en blanc.;25;Bisous Skateboards;chaussettes;SS26;Bleu;UN;2;SS26-93-UN;80% coton, 17% polyamide, 3% élasthanne
;Chaussettes Logo;SS26/94 UN;Chaussettes mi-hautes orange vif, logo Bisous brodé verticalement en noir.;25;Bisous Skateboards;chaussettes;SS26;Orange;UN;2;SS26-94-UN;80% coton, 17% polyamide, 3% élasthanne
;Short de bain Vichy;SS26/60 L;Short de bain à carreaux vichy vert et noir. Triple logo Bisous rose sur la jambe.;70;Bisous Skateboards;maillot homme;SS26;Vert;L;2;SS26-60-L;100% polyester
;Short de bain Vichy;SS26/60 M;Short de bain à carreaux vichy vert et noir. Triple logo Bisous rose sur la jambe.;70;Bisous Skateboards;maillot homme;SS26;Vert;M;2;SS26-60-M;100% polyester
;Short de bain Vichy;SS26/60 S;Short de bain à carreaux vichy vert et noir. Triple logo Bisous rose sur la jambe.;70;Bisous Skateboards;maillot homme;SS26;Vert;S;2;SS26-60-S;100% polyester
;Short de bain Vichy;SS26/60 XL;Short de bain à carreaux vichy vert et noir. Triple logo Bisous rose sur la jambe.;70;Bisous Skateboards;maillot homme;SS26;Vert;XL;2;SS26-60-XL;100% polyester
;Short de bain Vichy;SS26/60 XS;Short de bain à carreaux vichy vert et noir. Triple logo Bisous rose sur la jambe.;70;Bisous Skateboards;maillot homme;SS26;Vert;XS;2;SS26-60-XS;100% polyester
;Short de bain Vichy;SS26/60 XXL;Short de bain à carreaux vichy vert et noir. Triple logo Bisous rose sur la jambe.;70;Bisous Skateboards;maillot homme;SS26;Vert;XXL;2;SS26-60-XXL;100% polyester
;Short de bain Rayures;SS26/61 L;Short de bain à rayures bleu marine et blanc. Triple logo Bisous rose.;70;Bisous Skateboards;maillot homme;SS26;Navy;L;2;SS26-61-L;100% polyester
;Short de bain Rayures;SS26/61 M;Short de bain à rayures bleu marine et blanc. Triple logo Bisous rose.;70;Bisous Skateboards;maillot homme;SS26;Navy;M;2;SS26-61-M;100% polyester
;Short de bain Rayures;SS26/61 S;Short de bain à rayures bleu marine et blanc. Triple logo Bisous rose.;70;Bisous Skateboards;maillot homme;SS26;Navy;S;2;SS26-61-S;100% polyester
;Short de bain Rayures;SS26/61 XL;Short de bain à rayures bleu marine et blanc. Triple logo Bisous rose.;70;Bisous Skateboards;maillot homme;SS26;Navy;XL;2;SS26-61-XL;100% polyester
;Short de bain Rayures;SS26/61 XS;Short de bain à rayures bleu marine et blanc. Triple logo Bisous rose.;70;Bisous Skateboards;maillot homme;SS26;Navy;XS;2;SS26-61-XS;100% polyester
;Short de bain Rayures;SS26/61 XXL;Short de bain à rayures bleu marine et blanc. Triple logo Bisous rose.;70;Bisous Skateboards;maillot homme;SS26;Navy;XXL;2;SS26-61-XXL;100% polyester
;Short de bain Vichy;SS26/62 L;Short de bain vichy bleu et blanc. Triple logo Bisous rose, taille élastique.;70;Bisous Skateboards;maillot homme;SS26;Bleu;L;2;SS26-62-L;100% polyester
;Short de bain Vichy;SS26/62 M;Short de bain vichy bleu et blanc. Triple logo Bisous rose, taille élastique.;70;Bisous Skateboards;maillot homme;SS26;Bleu;M;2;SS26-62-M;100% polyester
;Short de bain Vichy;SS26/62 S;Short de bain vichy bleu et blanc. Triple logo Bisous rose, taille élastique.;70;Bisous Skateboards;maillot homme;SS26;Bleu;S;2;SS26-62-S;100% polyester
;Short de bain Vichy;SS26/62 XL;Short de bain vichy bleu et blanc. Triple logo Bisous rose, taille élastique.;70;Bisous Skateboards;maillot homme;SS26;Bleu;XL;2;SS26-62-XL;100% polyester
;Short de bain Vichy;SS26/62 XS;Short de bain vichy bleu et blanc. Triple logo Bisous rose, taille élastique.;70;Bisous Skateboards;maillot homme;SS26;Bleu;XS;2;SS26-62-XS;100% polyester
;Short de bain Vichy;SS26/62 XXL;Short de bain vichy bleu et blanc. Triple logo Bisous rose, taille élastique.;70;Bisous Skateboards;maillot homme;SS26;Bleu;XXL;2;SS26-62-XXL;100% polyester
;Porte-clés;SS26/77 UN;Porte-clés Bisous Skateboards, finition métal et logo marque.;25;Bisous Skateboards;accessoires;SS26;Modèle 1;UN;2;SS26-77-UN;Métal, résine
;Porte-clés;SS26/78 UN;Porte-clés Bisous Skateboards, finition métal et logo marque.;25;Bisous Skateboards;accessoires;SS26;Modèle 2;UN;2;SS26-78-UN;Métal, résine
;Porte-clés;SS26/79 UN;Porte-clés Bisous Skateboards, finition métal et logo marque.;25;Bisous Skateboards;accessoires;SS26;Modèle 3;UN;2;SS26-79-UN;Métal, résine
;Porte-clés;SS26/80 UN;Porte-clés Bisous Skateboards, finition métal et logo marque.;25;Bisous Skateboards;accessoires;SS26;Modèle 4;UN;2;SS26-80-UN;Métal, résine
;Porte-clés;SS26/81 UN;Porte-clés Bisous Skateboards, finition métal et logo marque.;25;Bisous Skateboards;accessoires;SS26;Modèle 5;UN;2;SS26-81-UN;Métal, résine
;T-shirt Logo Triple;SS26/12 L;T-shirt coton blanc, triple logo BISOUS rose et vert sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;L;2;SS26-12-L;100% coton
;T-shirt Logo Triple;SS26/12 M;T-shirt coton blanc, triple logo BISOUS rose et vert sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;M;2;SS26-12-M;100% coton
;T-shirt Logo Triple;SS26/12 S;T-shirt coton blanc, triple logo BISOUS rose et vert sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;S;2;SS26-12-S;100% coton
;T-shirt Logo Triple;SS26/12 XL;T-shirt coton blanc, triple logo BISOUS rose et vert sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;XL;2;SS26-12-XL;100% coton
;T-shirt Logo Triple;SS26/12 XS;T-shirt coton blanc, triple logo BISOUS rose et vert sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;XS;2;SS26-12-XS;100% coton
;T-shirt Logo Triple;SS26/16 L;T-shirt bleu royal, triple logo Bisous rose script sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Bleu Royal;L;2;SS26-16-L;100% coton
;T-shirt Logo Triple;SS26/16 M;T-shirt bleu royal, triple logo Bisous rose script sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Bleu Royal;M;2;SS26-16-M;100% coton
;T-shirt Logo Triple;SS26/16 S;T-shirt bleu royal, triple logo Bisous rose script sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Bleu Royal;S;2;SS26-16-S;100% coton
;T-shirt Logo Triple;SS26/16 XL;T-shirt bleu royal, triple logo Bisous rose script sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Bleu Royal;XL;2;SS26-16-XL;100% coton
;T-shirt Logo Géométrique;SS26/22 L;T-shirt blanc, logo Bisous dans un losange rose et bleu sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;L;2;SS26-22-L;100% coton
;T-shirt Logo Géométrique;SS26/22 M;T-shirt blanc, logo Bisous dans un losange rose et bleu sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;M;2;SS26-22-M;100% coton
;T-shirt Logo Géométrique;SS26/22 S;T-shirt blanc, logo Bisous dans un losange rose et bleu sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;S;2;SS26-22-S;100% coton
;T-shirt Logo Géométrique;SS26/22 XL;T-shirt blanc, logo Bisous dans un losange rose et bleu sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;XL;2;SS26-22-XL;100% coton
;T-shirt Logo Géométrique;SS26/22 XS;T-shirt blanc, logo Bisous dans un losange rose et bleu sur la poitrine.;65;Bisous Skateboards;tee shirt;SS26;Blanc;XS;2;SS26-22-XS;100% coton
;T-shirt Pal For Life;SS26/24 L;T-shirt rose chiné, imprimé Pal For Life avec portrait de chien et message fidélité.;65;Bisous Skateboards;tee shirt;SS26;Rose;L;2;SS26-24-L;100% coton
;T-shirt Pal For Life;SS26/24 M;T-shirt rose chiné, imprimé Pal For Life avec portrait de chien et message fidélité.;65;Bisous Skateboards;tee shirt;SS26;Rose;M;2;SS26-24-M;100% coton
;T-shirt Pal For Life;SS26/24 S;T-shirt rose chiné, imprimé Pal For Life avec portrait de chien et message fidélité.;65;Bisous Skateboards;tee shirt;SS26;Rose;S;2;SS26-24-S;100% coton
;T-shirt Pal For Life;SS26/24 XL;T-shirt rose chiné, imprimé Pal For Life avec portrait de chien et message fidélité.;65;Bisous Skateboards;tee shirt;SS26;Rose;XL;2;SS26-24-XL;100% coton
;T-shirt Pal For Life;SS26/24 XS;T-shirt rose chiné, imprimé Pal For Life avec portrait de chien et message fidélité.;65;Bisous Skateboards;tee shirt;SS26;Rose;XS;2;SS26-24-XS;100% coton
;T-shirt Bisous du Monde;SS26/27 L;T-shirt blanc, grille multilingue du mot bisou et illustration de baiser.;65;Bisous Skateboards;tee shirt;SS26;Blanc;L;2;SS26-27-L;100% coton
;T-shirt Bisous du Monde;SS26/27 M;T-shirt blanc, grille multilingue du mot bisou et illustration de baiser.;65;Bisous Skateboards;tee shirt;SS26;Blanc;M;2;SS26-27-M;100% coton
;T-shirt Bisous du Monde;SS26/27 S;T-shirt blanc, grille multilingue du mot bisou et illustration de baiser.;65;Bisous Skateboards;tee shirt;SS26;Blanc;S;2;SS26-27-S;100% coton
;T-shirt Bisous du Monde;SS26/27 XL;T-shirt blanc, grille multilingue du mot bisou et illustration de baiser.;65;Bisous Skateboards;tee shirt;SS26;Blanc;XL;2;SS26-27-XL;100% coton
;T-shirt Bisous du Monde;SS26/27 XS;T-shirt blanc, grille multilingue du mot bisou et illustration de baiser.;65;Bisous Skateboards;tee shirt;SS26;Blanc;XS;2;SS26-27-XS;100% coton
;T-shirt Glamour Club;SS26/28 L;T-shirt navy, logo Bisous rose et inscription Glamour Skateboard Club.;65;Bisous Skateboards;tee shirt;SS26;Navy;L;2;SS26-28-L;100% coton
;T-shirt Glamour Club;SS26/28 M;T-shirt navy, logo Bisous rose et inscription Glamour Skateboard Club.;65;Bisous Skateboards;tee shirt;SS26;Navy;M;2;SS26-28-M;100% coton
;T-shirt Glamour Club;SS26/28 S;T-shirt navy, logo Bisous rose et inscription Glamour Skateboard Club.;65;Bisous Skateboards;tee shirt;SS26;Navy;S;2;SS26-28-S;100% coton
;T-shirt Glamour Club;SS26/28 XL;T-shirt navy, logo Bisous rose et inscription Glamour Skateboard Club.;65;Bisous Skateboards;tee shirt;SS26;Navy;XL;2;SS26-28-XL;100% coton
